Nr tasks 410, Time 62.390159368515015, Makespan 1802, Max Temp 410.46, Top 1 percent highs 402.4631367106174 
Nr tasks 420, Time 69.18330812454224, Makespan 1846, Max Temp 410.46, Top 1 percent highs 402.4480962059624 
Nr tasks 430, Time 71.0516881942749, Makespan 1899, Max Temp 410.46, Top 1 percent highs 402.4720605661616 
Nr tasks 440, Time 77.76866888999939, Makespan 1937, Max Temp 410.46, Top 1 percent highs 402.44857972885717 
Nr tasks 450, Time 79.03366470336914, Makespan 1972, Max Temp 410.46, Top 1 percent highs 402.4315282181357 
Nr tasks 460, Time 87.71848654747009, Makespan 2029, Max Temp 410.46, Top 1 percent highs 402.4539556377076 
Nr tasks 470, Time 94.60835456848145, Makespan 2067, Max Temp 410.46, Top 1 percent highs 402.4591167574107 
Nr tasks 480, Time 95.7536211013794, Makespan 2101, Max Temp 410.46, Top 1 percent highs 402.4676964285717 
Nr tasks 490, Time 105.77163100242615, Makespan 2126, Max Temp 410.46, Top 1 percent highs 402.53108235293985 
Nr tasks 500, Time 107.69860315322876, Makespan 2174, Max Temp 410.46, Top 1 percent highs 402.5040885566408 
